t_s,mode,contact_err_mm,true_yaw_world_deg,held_yaw_world_deg,true_yaw_base_deg,held_yaw_base_deg,true_yaw_nominal_deg,held_yaw_nominal_deg
0.9600000000000007,open,1.1467548665341925,-8.220268250737729e-17,0.0,-8.220268250737729e-17,0.0,-8.220268250737729e-17,0.0
0.9800000000000008,open,1.1491543685935415,-7.634958468173053e-17,0.0,-7.634958468173053e-17,0.0,-7.634958468173053e-17,0.0
1.0000000000000007,open,1.1515618237435439,-7.797155837306128e-17,0.0,-7.797155837306128e-17,0.0,-7.797155837306128e-17,0.0
1.0200000000000007,open,1.1539773355312577,-7.67787558190195e-17,0.0,-7.67787558190195e-17,0.0,-7.67787558190195e-17,0.0
1.0400000000000007,open,1.1564010071667845,-5.627435279605371e-17,0.0,-5.627435279605371e-17,0.0,-5.627435279605371e-17,0.0
1.0600000000000007,open,1.1588329412311233,-5.627435279605371e-17,0.0,-5.627435279605371e-17,0.0,-5.627435279605371e-17,0.0
1.0800000000000007,open,1.1612732394104754,-5.0636196963114077e-17,0.0,-5.0636196963114077e-17,0.0,-5.0636196963114077e-17,0.0
1.1000000000000008,open,1.1637220022556913,-4.742509143861403e-17,0.0,-4.742509143861403e-17,0.0,-4.742509143861403e-17,0.0
1.1200000000000008,open,1.16617932897022,-4.754653723029715e-17,0.0,-4.754653723029715e-17,0.0,-4.754653723029715e-17,0.0
1.1400000000000008,open,1.1686453172188358,-4.799198707027147e-17,0.0,-4.799198707027147e-17,0.0,-4.799198707027147e-17,0.0
1.1600000000000008,open,1.1711200629615597,-4.361632897202119e-17,0.0,-4.361632897202119e-17,0.0,-4.361632897202119e-17,0.0
1.1800000000000008,open,1.1736036603047797,-4.5300861163702903e-17,0.0,-4.5300861163702903e-17,0.0,-4.5300861163702903e-17,0.0
1.2000000000000008,open,1.176096201373644,-4.281844531478197e-17,0.0,-4.281844531478197e-17,0.0,-4.281844531478197e-17,0.0
1.2200000000000009,open,1.1785977761997453,-3.583784520968343e-17,0.0,-3.583784520968343e-17,0.0,-3.583784520968343e-17,0.0
1.2400000000000009,open,1.1811084726226675,-2.7719731676553888e-17,0.0,-2.7719731676553888e-17,0.0,-2.7719731676553888e-17,0.0
1.260000000000001,open,1.1836283762073194,-2.422534366204886e-17,0.0,-2.422534366204886e-17,0.0,-2.422534366204886e-17,0.0
1.280000000000001,open,1.1861575701693874,-2.3494855740977688e-17,0.0,-2.3494855740977688e-17,0.0,-2.3494855740977688e-17,0.0
1.300000000000001,open,1.188696135314716,-2.5467918159487396e-17,0.0,-2.5467918159487396e-17,0.0,-2.5467918159487396e-17,0.0
1.320000000000001,open,1.1912441499858095,-1.7533198476623136e-17,0.0,-1.7533198476623136e-17,0.0,-1.7533198476623136e-17,0.0
1.340000000000001,open,1.193801690015719,-1.702925775447212e-17,0.0,-1.702925775447212e-17,0.0,-1.702925775447212e-17,0.0
1.360000000000001,open,1.1963688286914045,-1.2533904571648266e-17,0.0,-1.2533904571648266e-17,0.0,-1.2533904571648266e-17,0.0
1.380000000000001,open,1.1989456367220053,-1.0778988171747332e-17,0.0,-1.0778988171747332e-17,0.0,-1.0778988171747332e-17,0.0
1.400000000000001,open,1.2015321822120568,-8.600740550352525e-18,0.0,-8.600740550352525e-18,0.0,-8.600740550352525e-18,0.0
1.420000000000001,open,1.2041285306409284,-7.103520519744276e-18,0.0,-7.103520519744276e-18,0.0,-7.103520519744276e-18,0.0
1.440000000000001,open,1.4438800105284395,-4.562008491423473e-18,0.0,-4.562008491423473e-18,0.0,-4.562008491423473e-18,0.0
1.460000000000001,open,1.9987549727913156,3.0266107794580275e-18,0.0,3.0266107794580275e-18,0.0,3.0266107794580275e-18,0.0
1.480000000000001,open,2.8619160726216704,1.2726153404517838e-18,0.0,1.2726153404517838e-18,0.0,1.2726153404517838e-18,0.0
1.500000000000001,open,3.978349442843714,3.1677450194156055e-19,0.0,3.1677450194156055e-19,0.0,3.1677450194156055e-19,0.0
