t_capture_s,n_markers_valid,pose_valid,pos_err_mm,rot_err_deg,true_yaw_deg,est_yaw_deg
16.620833333332712,3,True,0.23343354644747105,0.12778765787739624,-2.2628097602404966,-2.245846371174907
16.62499999999938,3,True,0.10662396849538255,0.09237597661176558,-2.266843282595369,-2.2994115638964248
16.629166666666045,3,True,0.09319866411533195,0.007639114689148583,-2.2710328483821565,-2.2658492111017936
16.63333333333271,2,False,nan,nan,-2.2749550924321125,nan
16.637499999999378,3,True,0.06473348514991965,0.047479078532751,-2.2787529413966734,-2.2617078056593822
16.641666666666044,3,True,0.16076333394933692,0.02971454795226344,-2.2825319034305673,-2.267751095778947
16.64583333333271,3,True,0.0639832939933207,0.04210477716860013,-2.2865038888818567,-2.298998905023608
16.649999999999377,3,True,0.15453659217063945,0.04198375609000698,-2.290497729572243,-2.2943453134054934
16.654166666666043,3,True,0.10030145144333445,0.02274886310296576,-2.296347894084906,-2.304771576160228
16.65833333333271,3,True,0.12229742383453729,0.03133572004521851,-2.3000638413028685,-2.3046758724456655
16.662499999999376,3,True,0.12837924719916827,0.015055775168764227,-2.3038256742839462,-2.293561539842579
16.666666666666043,3,True,0.030558876262980227,0.0259477801082129,-2.307782546288317,-2.3054196343653723
16.67083333333271,3,True,0.13131879311351227,0.024161323778698247,-2.3114954120434787,-2.3315814936118247
16.674999999999375,3,True,0.09887886844278125,0.035124290031115134,-2.315103791892533,-2.318981164958352
16.679166666666042,3,True,0.05499534398409241,0.044010196621423796,-2.3187104780412233,-2.317225859468934
16.68333333333271,3,True,0.12865642560707916,0.02556208978602937,-2.3224015920828007,-2.3085215327408144
16.687499999999375,3,True,4.942776196915833,1.824907704936426,-2.326312873297587,-2.2896086372088518
16.69166666666604,3,True,0.2938101955047945,0.09280925710815557,-2.3302133069566002,-2.3110748952310987
16.695833333332708,3,True,0.1442968709278897,0.09241359817122453,-2.333821079998398,-2.321653714130712
16.699999999999374,3,True,0.054141763903320914,0.08056726272351075,-2.3373970458062274,-2.319283007141555
16.70416666666604,3,True,0.11118854950144996,0.023355890706361786,-2.342943636649243,-2.362646750328758
16.708333333332707,3,True,0.11045849586997346,0.06310759991109768,-2.3467275875539992,-2.3272006564059793
16.712499999999373,3,True,0.12675661685448872,0.09221685378925684,-2.350233711260114,-2.35580788380574
16.71666666666604,3,True,5.649297339507364,2.1394826669157645,-2.353723350573641,-1.8454361324755557
16.720833333332706,3,True,0.14673414116248823,0.0524420779267582,-2.357218382082961,-2.3682622302973515
16.724999999999373,3,True,0.10526745732172495,0.03516891138184118,-2.36091845248711,-2.373306945375038
16.72916666666604,3,True,0.16357211266978053,0.056444753504127324,-2.364769760786607,-2.3568107629806745
16.733333333332705,3,True,0.10197167894705098,0.019496840960192358,-2.368354374984029,-2.354963189088769
16.737499999999372,3,True,0.20189664410529692,0.01893546298447135,-2.371815548386775,-2.3683673914626526
16.74166666666604,3,True,0.18740101372697218,0.02432510669409158,-2.3752596206712018,-2.3931912319450697
16.745833333332705,3,True,0.23690041462152367,0.07477257620175722,-2.3788927941773212,-2.3936622923378064
16.74999999999937,3,True,0.126642953463725,0.026215790182376266,-2.3825468509603036,-2.40826093487268
16.754166666666038,3,True,0.08627795759029283,0.056376930970053675,-2.387604528713551,-2.3923492783292017
16.758333333332704,3,True,0.13465238643955788,0.017705857358183846,-2.390966945461601,-2.3860281246509722
16.76249999999937,3,True,0.22188195898193963,0.06953888177988694,-2.394411347977782,-2.389732321933314
